huc12,tohuc,name,areasqkm,states,sum.ras_crp_18_2012_50m,sum.ras_crp_18_2013_50m,sum.ras_crp_18_2014_50m,sum.ras_crp_18_2015_50m,sum.ras_crp_18_2016_50m,sum.ras_crp_18_2017_50m,sum.ras_crp_18_2018_50m,sum.ras_crp_18_2019_50m,sum.ras_crp_18_2020_50m,sum.ras_crp_18_2021_50m,sum.ras_crp_18_2022_50m
071200010402,071200010405,Kingsbury Creek,39.53,IN,156,156,0,0,2132,2302,2302,2302,2302,2302,2302
050800030404,050800030405,Village Creek-Whitewater River,81.34,IN,12378,12494,11854,12354,9148,9336,6548,6050,5722,5350,5350
071200010505,071200010506,Bickel Ditch-Yellow River,55.04,IN,21205.001953125,22567.001953125,17090.001953125,14594.001953125,18732.001953125,18890.001953125,17994.001953125,16718.001953125,15372.001953125,15044.001953125,15044.001953125
071200020101,071200020102,Ryan Ditch-Oliver Ditch,69.51,IN,22068.001953125,21910.001953125,20324.001953125,20014.001953125,10316.001953125,13979.9248046875,19545.92578125,19545.92578125,18585.92578125,18271.669921875,18271.669921875
071200020102,071200020103,Davis Ditch-Oliver Ditch,66.03,IN,21746,20233.2734375,21484.0859375,21542.955078125,35615.28125,36405.28125,36089.28125,36089.28125,37687.28125,37687.28125,37675.28125
071200020203,071200020206,Nesius Ditch-Bice Ditch,57.54,IN,9388,9230,12884.083984375,13114.083984375,19778.017578125,23266.017578125,23786.251953125,23786.251953125,23786.251953125,23434.251953125,27070.98046875
050800030706,050800030709,Clear Creek-Lick Creek,41.67,IN,3482.682373046875,3482.682373046875,3482.682373046875,2702.091552734375,6510.68212890625,6984.68212890625,6778.68212890625,6778.68212890625,6772.68212890625,6676.68212890625,6658.68212890625
051201030602,051201030603,Metocinah Creek,38.82,IN,17365.83203125,14137.83203125,15895.83203125,12347.83203125,12189.83203125,12967.83203125,8641.83203125,8623.83203125,7991.83203125,12826.9345703125,12826.9345703125
071200010205,071200010206,Dixon West Place Ditch,53.76,IN,1250,1250,1250,1274,1310,1310,1310,1310,1310,1310,1310
050800030709,050800030710,Smith Creek-East Fork Whitewater River,51.56,IN,12393.0771484375,11916,11782,14058.5908203125,15378.6337890625,14266.6337890625,34416.6328125,34100.6328125,33620.6328125,36066.6328125,34006.6328125
050800030710,050800030711,Clay Creek-East Fork Whitewater River,43.88,IN,14939.4130859375,15577.4130859375,15336,15610,28084,27726,27094,26772,26772,25834,25026
041000050101,041000050102,Trier Ditch,73.01,IN,4126.8701171875,4114.8701171875,4344.8701171875,4436.8701171875,4436.8701171875,3804.870361328125,3622.870361328125,3640.870361328125,3300.870361328125,2802.870361328125,2724.870361328125
041000050102,041000050103,Bullerman Ditch-Maumee River,87.28,IN,3581.90185546875,3265.90185546875,3739.90185546875,3581.90185546875,4010.34423828125,4116.34423828125,3958.34423828125,3162.34423828125,2222.34423828125,2116.34423828125,3094.34423828125
041000050103,041000050105,Sixmile Creek-Maumee River,62.57,IN,7899.07275390625,7899.07275390625,8305.0732421875,7899.07275390625,9378.630859375,9226.630859375,8740.630859375,8934.630859375,8934.630859375,6754.630859375,6432.630859375
041000050104,041000050106,Black Creek,49.71,IN,5578.4140625,5980.4140625,5440.4140625,5388.4140625,5066.4140625,4096.4140625,3008.413818359375,3166.413818359375,2850.413818359375,2580.413818359375,2562.413818359375
041000050105,041000050106,Bottern Ditch-Maumee River,87.95,IN,5191.77587890625,5015.77587890625,5161.77587890625,4463.77587890625,4717.27685546875,4565.27685546875,4471.27685546875,5819.27685546875,5303.27685546875,3281.276611328125,3075.276611328125
041000050106,041000050202,Marsh Ditch-Maumee River,50.12,IN,5500.2939453125,4802.263671875,5306.701171875,5342.2939453125,5839.6953125,5687.6953125,4986.3837890625,4340.3837890625,3460.3837890625,2634.3837890625,2792.3837890625
051201030401,051201030402,Campbell Creek,54.4,IN,5850,5850,6020,5534,5370,5376,5024,4392,3752,3436,2330
071200011204,071200011205,Williams Ditch,42.24,"IL,IN",5588,5588,5740,3894,5532,4104,3788,3788,3788,3788,3788
051201030402,051201030404,Rees Ditch-Mississinewa River,104.33,IN,7642,8754,9252,8930,7806,6640,6962,7078,7236,6762,6762
051201030403,051201030404,Studebaker Ditch-Pike Creek,55.98,IN,2740,1950,1792,838,2076.01806640625,2076.01806640625,2076.01806640625,2076.01806640625,2076.01806640625,2076.01806640625,2076.01806640625
050800030101,050800030102,Morgan Creek,38.71,IN,14061.0322265625,15993.0322265625,16335.0322265625,15691.0322265625,15867.0322265625,15867.0322265625,15801.0322265625,15139.0322265625,14975.0322265625,14647.0322265625,14331.0322265625
051201030504,051201030510,Back Creek,48.92,IN,2540,2540,2388,2066,2698,2540,2698,2698,2698,2698,2698
