huc12,tohuc,name,areasqkm,states,sum,area_sqkm
071200010406,071200010407,Headwaters Mill Creek,62.82,IN,15616.244140625,39.0406103515625
071200011308,071200011309,Bull Run-West Creek,56.2,"IL,IN",7353.85693359375,18.384642333984374
071200020703,071200020704,Kult Ditch-Mud Creek,41.94,"IL,IN",15422.4765625,38.55619140625
071200010602,071200010603,Cedar Lake Ditch-Craigmile Ditch,51.17,IN,7262.09326171875,18.155233154296877
071200010503,071200010505,Clifton Ditch-Yellow River,48.69,IN,9884.328125,24.7108203125
071200010603,071200010604,Craigmile Ditch-Kline Arm,85.7,IN,17000.494140625,42.5012353515625
040400010510,040400010509,City of Gary-Little Calumet River,62.12,IN,514.344970703125,1.2858624267578125
040400010103,040400010105,West Branch Trail Creek,61.27,IN,4220.0302734375,10.55007568359375
040400010302,040400010303,Clark Ditch-Salt Creek,51.43,IN,2213.8720703125,5.53468017578125
040400010303,040400010403,Squirrel Creek-Salt Creek,104.97,IN,7604.4765625,19.01119140625
040400010401,040400010402,Reynolds Creek-East Arm Little Calumet River,50.82,IN,4093.322265625,10.2333056640625
040400010403,040400010509,Coffee Creek-East Arm Little Calumet River,72.09,IN,2011.7049560546875,5.029262390136719
071200010604,071200010806,Pine Creek-Bogus Run,52.95,IN,6274.08154296875,15.685203857421875
071200010806,071200010807,Origer Ditch-Kankakee River,37.5,IN,8008.06201171875,20.020155029296873
071200010807,071200010809,Rassmussen Ditch-Kankakee River,76.02,IN,18338.021484375,45.8450537109375
040400010501,040400010502,Headwaters Main Beaver Dam Ditch,46.5,IN,3685.366455078125,9.213416137695312
040400010502,040400010504,Main Beaver Dam Ditch-Deep River,71.01,IN,10744.4072265625,26.86101806640625
040400010503,040400010505,Headwaters Turkey Creek,54.8,IN,2439.327880859375,6.098319702148437
040400010504,040400010507,Deer Creek-Deep River,51.73,IN,4930.912109375,12.3272802734375
071200020706,071200020707,Town of Stockland,54.69,"IL,IN",20091.61328125,50.229033203125
071200020709,071200020710,Possum Trot Ditch,43.55,"IL,IN",16385.44140625,40.963603515625
071200020710,071200020711,Coon Creek,79.8,"IL,IN",28990.400390625,72.4760009765625
051201090704,051201090705,Middle Jordan Creek,41.08,"IL,IN",15278.671875,38.1966796875
071200021304,071200021305,Hooper Branch,56.97,"IL,IN",6977.046875,17.4426171875
071200021303,071200021305,Carlson Ditch-Beaver Creek,44.88,"IL,IN",11769.013671875,29.4225341796875
071200021305,071200021308,North Hooper-Beaver Creek,36.07,"IL,IN",12800.6728515625,32.00168212890625
071200021306,071200021307,Headwaters Little Beaver Creek,75.22,"IL,IN",17450.068359375,43.6251708984375
051201081103,051201081104,Yankee Branch-Little Vermilion River,74.39,"IL,IN",18815.947265625,47.0398681640625
051201080801,051201080803,Spring Creek,71.14,"IL,IN",22038.62109375,55.096552734375
051201090705,051201090706,Lower Jordan Creek,36.03,"IL,IN",12367.533203125,30.9188330078125
051201080301,051201080302,Headwaters Mud Pine Creek,49.18,IN,17258.017578125,43.1450439453125
040400010505,040400010607,City of Merrillville-Turkey Creek,51.94,IN,1682.924560546875,4.207311401367187
040400010508,040400010509,Outlet Deep River,34.33,IN,777.70880126953125,1.944272003173828
071200011003,071200011004,Headwaters Crooked Creek,57.16,IN,13599.234375,33.9980859375
040500011706,040500011708,Berlin Court Ditch,48.72,IN,11053.4970703125,27.63374267578125
071200011004,071200011006,Koselki Ditch-Crooked Creek,65.37,IN,18454.537109375,46.1363427734375
071200011007,071200011008,Sievers Creek-Cobb Ditch,82.78,IN,18088.0390625,45.22009765625
071200011008,071200011010,Ahlgrim Ditch,53.53,IN,16619.99609375,41.549990234375
040500011707,040500011708,Omar Neff Ditch-Turkey Creek,51.38,IN,17543.099609375,43.8577490234375
071200011302,071200011305,Fisher Pond-Stony Run,47.54,IN,12668.462890625,31.6711572265625
040500012002,040500012004,Indian Creek-Pine Creek,82.46,IN,9339.841796875,23.3496044921875
071200020201,071200020202,Keefe Ditch,43.76,IN,13940.294921875,34.8507373046875
040500012101,040500012102,Grimes Ditch,54.02,IN,16219.6943359375,40.54923583984375
040500012102,040500012103,Wisler Ditch-Baugo Creek,60.72,IN,16452.779296875,41.1319482421875
040500012205,040500012207,Auten Ditch-Saint Joseph River,91.25,IN,4109.72265625,10.274306640625
071200011306,071200011311,Cedar Creek,81.1,IN,9002.0576171875,22.50514404296875
071200020202,071200020206,Jordan Ditch-Slough Creek,85.39,IN,26537.111328125,66.3427783203125
040400010204,040400010206,Spring Creek,62.45,"IN,MI",9300.0380859375,23.25009521484375
051201080404,051201080405,Owens Ditch-Big Pine Creek,72.82,IN,25990.255859375,64.9756396484375
040400010104,040400010105,East Branch Trail Creek,60.94,"IN,MI",4343.5859375,10.85896484375
040400010201,040400010203,Dowling Creek,54.66,"IN,MI",13214.5947265625,33.03648681640625
040400010205,040400010206,Galena River,72.21,"IN,MI",5478.42529296875,13.696063232421874
040500012601,040500012602,McCoy Creek,66.95,"IN,MI",11020.5595703125,27.55139892578125
071200010201,071200010202,Hudson Lake-Geyer Ditch,77.97,"IN,MI",18904.029296875,47.2600732421875
071200020204,071200020205,Headwaters Carpenter Creek,62.27,IN,21907.623046875,54.7690576171875
051201060402,051201060405,Outlet Creek,92.23,IN,27435.828125,68.5895703125
051201060305,051201060401,Danner Ditch-Tippecanoe River,73.41,IN,18346.384765625,45.8659619140625
071200020302,071200020304,Iliff Slough Lateral-Ryan Ditch,66.34,IN,22796.43359375,56.991083984375
071200020304,071200020305,Ryan Ditch,72.98,IN,26101.310546875,65.2532763671875
071200010208,071200010209,Lower Fish Lake-Little Kankakee River,131.57,IN,26475.380859375,66.1884521484375
071200010206,071200010209,Aldrich Ditch,44.2,IN,7952.2705078125,19.88067626953125
071200010306,071200010307,Fleugel Ditch-Dausman Ditch,44.73,IN,14209.3876953125,35.52346923828125
071200010302,071200010309,Kline Rouch Ditch-Yellow River,95.76,IN,29322.322265625,73.3058056640625
071200020702,071200020705,Coon Creek-Mud Creek,100.11,IN,35069.8515625,87.67462890625
071200030303,071200030304,Cady Marsh Ditch,42.5,IN,21,0.0525
051201060508,051201060509,Cowan Ditch-Eddy Creek,67.74,IN,16122.375,40.3059375
050800030604,050800030605,Walnut Fork-Pipe Creek,76.86,IN,3269.91552734375,8.174788818359374
050800030603,050800030605,Duck Creek,66.68,IN,5350.81396484375,13.377034912109375
050800030203,050800030204,Williamsburg Creek-Greens Fork,43.5,IN,10249.38671875,25.623466796875
050800030605,050800030804,Yellow Bank Creek-Whitewater River,67.15,IN,3346.5361328125,8.36634033203125
050800030204,050800030205,Black Water Branch-Greens Fork,71.68,IN,17619.96484375,44.049912109375
071200030203,071200030204,North Creek,59.09,"IL,IN",3158.53125,7.896328125
050800030705,050800030707,West Fork East Fork Whitewater River,53.59,IN,12339.3203125,30.84830078125
071200030407,040400010606,Grand Calumet River-Calumet River,62.66,"IL,IN",34,0.085
050800030302,050800030303,Fountain Creek-Nolands Fork,42.08,IN,10410.6875,26.02671875
050800030303,050800030304,Fork Creek-Nolands Fork,73.56,IN,18945.6796875,47.36419921875
051201060607,051201060608,Quigley Marsh Ditch,46.39,IN,10444.01953125,26.110048828125
051201060601,051201060603,Lake Maxinkuckee,55.47,IN,7579.04931640625,18.947623291015624
051201060602,051201060604,House Ditch,75.54,IN,16810.85546875,42.027138671875
051201060604,051201060606,Bartee Ditch-Tippecanoe River,50.8,IN,10770.3173828125,26.92579345703125
051201060606,051201060608,Dilts Anstis Ditch-Tippecanoe River,59.33,IN,10488.1591796875,26.22039794921875
